	RS.v 	RS.u	RS.I	CH.v	CH.u	CH.I	IB.v	IB.u	IB.I	FS.v	FS.u	FS.I	LTS.v	LTS.u	LTS.I
1081	-65.8823	-13.7218	7.76717	-66.035	-13.8814	-3.60967	-56.7446	-13.8175	-1.37542	-70.3929	-13.1952	-0.348203	-94.4327	26.9812	1.92651
1082	-68.993	-13.7218	-4.15084	-64.4082	-13.8814	5.12228	-56.9426	-13.8175	0.711398	-72.1446	-13.1952	-2.94054	-95.469	26.9812	0.370619
1083	-69.5453	-13.7233	-0.262637	-65.306	-13.8614	0.427384	-64.0279	-13.7689	-12.9733	-71.296	-13.2246	1.03115	-94.1604	27.2292	2.37009
1084	-74.6202	-13.7233	-9.60852	-64.6531	-13.8614	3.37942	-63.7776	-13.7689	2.88828	-72.8504	-13.2246	-3.17817	-96.1708	27.2292	-0.636952
1085	-71.3294	-13.7473	3.23236	-68.1638	-13.8428	-4.81828	-64.8309	-13.7487	0.309017	-73.6797	-13.2643	-2.91845	-95.5	27.4793	-0.528156
1086	-72.9997	-13.7473	-3.95624	-68.4086	-13.8428	0.634423	-63.4836	-13.7487	4.9787	-72.7957	-13.2643	-0.245758	-95.0162	27.4793	1.13692
1087	-70.1623	-13.7644	3.7676	-74.5005	-13.8396	-11.173	-65.4377	-13.7276	-1.44558	-72.0261	-13.2989	0.284989	-95.9082	27.7292	-0.346845
1088	-75.4082	-13.7644	-10.3545	-69.7618	-13.8396	6.1273	-68.7688	-13.7276	-4.48496	-73.5239	-13.2989	-3.67433	-95.067	27.7292	1.01726
1089	-76.2748	-13.7907	-5.9125	-66.341	-13.8418	7.14262	-68.5376	-13.7282	1.41284	-71.6596	-13.3437	1.81868	-95.4927	27.9804	0.703358
1090	-81.1445	-13.7907	-14.87	-70.3249	-13.8418	-6.14969	-66.7201	-13.7282	4.69863	-72.0545	-13.3437	-1.23946	-96.8031	27.9804	-1.93111
1091	-74.5501	-13.8395	1.74346	-69.4621	-13.8463	1.68462	-69.1355	-13.7205	-3.02127	-72.9853	-13.3566	-2.6068	-95.3112	28.2349	0.146146
1092	-70.4703	-13.8395	4.76193	-71.7789	-13.8463	-4.16882	-68.8772	-13.7205	1.28489	-72.9891	-13.3566	-1.51177	-94.2706	28.2349	3.50319
1093	-68.296	-13.8446	4.21797	-73.4419	-13.8565	-4.36624	-66.3595	-13.7216	5.93819	-71.6284	-13.3856	1.21385	-96.0595	28.4876	0.532166
1094	-70.3303	-13.8446	-3.00685	-69.5922	-13.8565	5.304	-66.89	-13.7216	0.871642	-72.0122	-13.3856	-1.23634	-96.7117	28.4876	-1.61651
1095	-65.6976	-13.849	9.21822	-69.701	-13.8577	0.163952	-70.0905	-13.7147	-4.64344	-70.919	-13.3935	1.43163	-95.9941	28.7444	-0.644876
1096	-66.8791	-13.849	-0.371023	-70.5478	-13.8577	-1.37554	-71.0908	-13.7147	-1.76989	-71.5284	-13.3935	-1.19741	-94.805	28.7444	2.49837
1097	-65.7371	-13.8395	3.91792	-64.5557	-13.8628	11.7858	-72.2906	-13.7248	-2.81642	-71.7815	-13.3915	-0.910297	-95.684	29.0003	1.49197
1098	-64.7315	-13.8395	4.00255	-63.2643	-13.8628	4.80103	-69.8017	-13.7248	3.66882	-72.8024	-13.3915	-2.629	-95.9411	29.0003	0.688922
1099	-65.5575	-13.8217	0.55921	-61.5502	-13.8386	5.79216	-72.5212	-13.7295	-5.04645	-70.4406	-13.4136	3.33652	-95.9809	29.2587	0.438298
1100	-66.2988	-13.8217	0.571933	-62.0917	-13.8386	1.29218	-70.5344	-13.7295	2.47715	-70.9711	-13.4136	-0.746768	-96.5305	29.2587	-0.429388
1101	-69.5541	-13.8104	-4.6595	-59.3849	-13.8102	7.81836	-70.058	-13.737	0.891322	-72.1147	-13.3992	-2.32113	-95.2915	29.5191	1.66379
1102	-71.5425	-13.8104	-3.52765	-59.7958	-13.8102	1.22992	-72.9937	-13.737	-5.64346	-72.872	-13.3992	-2.36145	-95.7777	29.5191	1.78547
1103	-72.7187	-13.8204	-3.18359	-62.2339	-13.7731	-2.72889	-71.3685	-13.7543	1.3587	-73.0454	-13.4218	-1.79914	-95.5687	29.7799	1.89102
1104	-69.359	-13.8204	4.97217	-68.6557	-13.7731	-10.3694	-68.6335	-13.7543	4.81979	-70.9287	-13.4218	2.6134	-96.7066	29.7799	0.0126486
1105	-73.7416	-13.8214	-8.21748	-71.6782	-13.7723	-5.08384	-66.0125	-13.7537	6.23297	-70.5913	-13.4058	0.661293	-96.2354	30.0431	0.168632
1106	-72.987	-13.8214	-1.11712	-72.0151	-13.7723	-1.56574	-67.3971	-13.7537	-0.766461	-71.5174	-13.4058	-1.62675	-96.1274	30.0431	0.986038
1107	-67.3334	-13.8369	9.33658	-74.0835	-13.7849	-5.28062	-67.5602	-13.7482	1.21087	-71.5151	-13.4024	-0.403657	-97.622	30.3068	-1.92825
1108	-70.9535	-13.8369	-5.76157	-75.6642	-13.7849	-6.06341	-72.425	-13.7482	-8.25203	-71.0996	-13.4024	0.427777	-96.7263	30.3068	-0.99403
1109	-69.5342	-13.844	2.39311	-80.3875	-13.8119	-13.9133	-68.1668	-13.763	7.07782	-70.5405	-13.3915	1.00764	-97.0241	30.5726	-0.896285
1110	-69.8561	-13.844	-0.217039	-78.5387	-13.8119	-6.66278	-65.2509	-13.763	7.03439	-71.6456	-13.3915	-1.93754	-97.1159	30.5726	-1.0375
1111	-67.1364	-13.8466	5.68102	-70.349	-13.8498	8.52796	-70.3879	-13.7487	-8.08972	-71.0289	-13.3919	0.746166	-97.1488	30.8402	-1.1736
1112	-71.2943	-13.8466	-6.77228	-71.3975	-13.8498	-2.16105	-73.2146	-13.7487	-5.64078	-70.9221	-13.3919	0.162026	-98.0445	30.8402	-2.72273
1113	-71.5386	-13.8548	-1.17879	-65.8272	-13.8584	10.3742	-71.5589	-13.7666	1.22054	-69.9444	-13.3788	1.97619	-96.5708	31.1102	-0.498757
1114	-71.29	-13.8548	-0.375421	-66.6594	-13.8584	0.284402	-73.546	-13.7666	-4.77331	-69.8106	-13.3788	0.922092	-96.6522	31.1102	0.764556
1115	-69.3431	-13.8629	3.19831	-69.2257	-13.8479	-3.43311	-72.383	-13.7854	-0.0711121	-69.4279	-13.3462	1.49884	-95.0821	31.3798	3.8454
1116	-64.9733	-13.8629	9.25371	-71.02	-13.8479	-2.9957	-65.825	-13.7854	11.6736	-69.5172	-13.3462	0.80537	-97.9526	31.3798	-0.575017
1117	-65.5735	-13.8455	0.941997	-73.0407	-13.855	-4.54292	-66.0554	-13.773	1.56152	-68.434	-13.3113	3.10053	-94.5037	31.6523	4.25209
